Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2026/2/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Australia,AUS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,6.000730038,5.889070034,5.646170139,,5.47191,5.364490032,,5.397459984,5.26872015,5.057590008,4.907010078,4.739019871,4.666830063,4.784739971,4.682759762,5.505579948,5.244820118,,,,,,,,,,,,,,,,,,,,,,,,,,5.386250019,5.341090202,5.059160233,,,
Austria,AUT,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,4.163469791,4.299190044,4.467649937,4.533219814,4.674250126,5.148119926,5.258259773,4.973490238,5.180079937,5.057970047,5.028669834,5.38891983,5.384079933,5.324639797,5.315289974,5.318039894,5.521580219,5.397250175,5.211140156,5.037909985,4.976749897,5.123280048,5.317810059,5.272649765,,5.449699879,5.288839817,,6.137249947,6.135990143,5.620369911,5.604750156,5.562550068,5.392539978,5.34224987,5.285150051,5.263679981,5.179180145,5.298510075,5.765679836,5.736259937,5.627870083,5.516119957,5.594059944,5.49766016,5.491449833,5.509540081,5.401810169,5.254370213,5.236780167,5.579619884,5.48071003,5.277480125,,,
Azerbaijan,AZE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.057970047,,,3.337369919,3.512569904,,3.380019903,4.212140083,3.853990078,3.503420115,3.154459953,3.286149979,3.447700024,2.974620104,2.555520058,2.549279928,2.44092989,3.224309921,2.780620098,2.435640097,2.067630053,2.442130089,2.633039951,2.951679945,2.903409958,2.473819971,2.455430031,3.176460028,4.332049847,3.702080011,3.046900034,3.664000034,,
Burundi,BDI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,2.803359985,,3.346760035,,,,,,,,,3.359329939,3.493659973,3.805850029,,4.565269947,5.015110016,4.083240032,,,3.417449951,2.645479918,2.903909922,3.004930019,,3.74496007,3.632159948,,,5.192900181,6.171949863,6.775249958,6.319250107,6.167779922,5.995399952,6.784520149,6.371339798,4.691999912,4.762020111,5.078649998,5.346684454,5.321585068,4.871141739,,,,
Belgium,BEL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,5.762819767,5.731040001,5.98883009,5.436339855,5.380350113,5.310639858,5.435319901,5.316730022,,,,4.852290154,4.577129841,4.300720215,,,,,5.372310162,5.411039829,2.988660097,3.049479961,,,,,,,,,5.795859814,,,6.332940102,6.434659958,6.440770149,6.384819984,6.566269875,6.601359844,6.558650017,6.469639778,6.486130238,6.449150085,6.388830185,6.323810101,6.754700184,6.381120205,6.277969837,,,
Benin,BEN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.747889996,1.921939969,2.113660097,2.365099907,2.159490108,2.283159971,2.566900015,2.656680107,2.56340003,2.363310099,2.777280092,3.089270115,3.679970026,,3.562020063,3.327510118,3.161789894,3.17298007,2.899100065,3.535589933,2.931619883,2.732047415,2.898984319,3.096926381,3.097264268,3.229743221,,
Burkina Faso,BFA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,1.679829955,,1.961799979,,,1.754480004,,1.763960004,,,1.426079988,,,,,,3.451100111,,1.440260053,,,,,,,,,3.941139936,3.982189894,4.07983017,,,3.502229929,3.985150099,3.603159904,4.083439827,4.053299904,3.67008996,,5.628469944,5.488609791,5.456156325,5.21148277,5.249133467,5.294567533,5.32757841,,
Bangladesh,BGD,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,1.130929947,0.937600017,1.071499944,1.011639953,1.032670021,1.223029971,1.271180034,1.343490005,1.513640046,,,1.519119978,1.425660014,1.631770015,1.692620039,,,,1.952469945,,2.132819891,2.125080109,2.171930075,2.017149925,2.069390059,1.940140009,,2.131289959,2.202219963,2.05456996,1.939419985,,2.132699966,2.175499916,1.966160059,2.098716631,1.872254171,1.281839967,2.113428754,2.094774735,1.130949974,2.139743517,2.170908825,2.085386578,2.162138263,2.034384779,
Bulgaria,BGR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,3.52947998,,,,,,,,,,4.454060078,5.429619789,5.2604599,4.950489998,4.170660019,2.372070074,2.230079889,,2.739429951,,,3.384239912,3.386080027,3.998450041,4.249889851,4.108799934,3.903460026,3.680340052,4.219089985,4.274290085,3.857460022,3.546900034,3.476500034,4.057660103,,,,4.077559948,4.052020073,4.214290142,4.482970238,4.70923996,4.50109005,,,
Bahrain,BHR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,2.012170076,2.307810068,2.023930073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.874409914,2.575000048,2.496779919,,2.35114975,2.312353965,2.544830084,2.382869959,2.369189978,2.553440094,2.802482903,2.216370106,2.388939768,2.111469828,2.058019075,1.851159401,1.711921271,1.887781679,,
"Bahamas, The",BHS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.232840061,,,,,,,,,,2.451659905,2.355766386,2.303911972,2.424288424,2.247147055,2.272317592,2.58786213,2.695101621,2.492641125,2.625731765,3.712522996,3.048906552,2.623670214,2.741915702,,
Bosnia and Herzegovina,BIH,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.314739657,3.018112867,4.264510155,2.838684242,3.892970085,4.044499874,3.019540884,4.136229992,2.970129864,3.245648266,,
Belarus,BLR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.000010014,6.196619987,,,,5.712259769,5.871029854,6.076960087,5.152100086,,4.368939877,5.220039845,4.684790134,4.959640026,5.009419918,4.818329811,4.787509918,4.946549892,4.795000076,4.836569786,4.979489803,4.862639904,4.606410027,4.628230095,4.951479912,,
Belize,BLZ,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.03494978,3.683569908,4.235199928,,3.901200056,4.009669781,,,,4.299960136,4.801199913,5.242519855,5.517869102,5.473519895,5.124740124,5.139500141,5.357110023,5.726039886,5.950719833,6.127799988,5.963779926,5.213019848,5.962989807,4.604159832,4.231430054,4.622763172,
Bermuda,BMU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,4.107900143,,3.434420109,,,,,,,,,,3.034490108,,,,,3.136199951,3.150650024,3.4760499,,,,,,2.152270079,,,,,1.666270018,1.775879979,1.988770008,,,,2.289200068,2.306689978,2.196569883,2.385971371,2.279503207,1.536880016,1.501639962,2.039058742,1.324959993,1.935954668,1.926798272,1.748347975,1.945653258,1.775833389,1.865104408,,
Bolivia,BOL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.434219837,6.720489979,6.723020077,7.574860096,6.973790169,6.450560093,6.627999783,6.803219795,7.478129864,8.143429756,8.15060997,8.097240448,8.015870094,8.091039658,8.437109947,7.962150097,7.575500011,8.315890714,,
Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.568160057,,,4.756659985,3.800620079,3.948930025,3.844680071,3.750370026,,3.974479914,4.4790802,4.870600224,4.974259853,5.268839836,5.463550091,5.648799896,5.737410069,5.855100155,5.838850021,5.948480129,6.24105978,6.314040184,6.32047987,6.088510036,5.963469982,5.771500111,5.49698019,5.619229794,,,
Barbados,BRB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,6.150650024,6.790719986,6.722420216,7.523749828,,5.9447999,6.517159939,,,,,,,,,,,,,,6.638700008,,,,,,,,4.341239929,4.71585989,6.055369854,5.880620003,6.245699883,6.024280071,5.669650078,,5.220610142,4.920740128,5.1104002,6.052619934,,4.588230133,4.503069878,5.359509945,5.159975172,4.197199821,3.956209898,5.404478256,3.722280025,3.86529994,4.49793005,4.14000988,3.775449991,3.555931881,
Brunei Darussalam,BRN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,6.239150047,4.995019913,4.039289951,8.793290138,1.570279956,0.917890012,0.917750001,,1.001109958,0.716929972,0.54381001,0.753610015,0.81020999,,,,,2.653510094,3.209170103,2.809700012,2.308160067,2.161129951,2.477720022,2.842040062,,,,,3.83446002,3.596090078,3.384609938,,,,,,,,,,1.843840003,3.322139978,2.889640093,,3.353219986,,4.42539978,,,,,,,,,
Bhutan,BTN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,1.87579,1.650560021,,,3.09239006,,,2.510020018,3.47623992,,,,,,,,,,,,,,,,,,,,,5.786759853,5.449850082,,,6.123119831,6.764200211,,,4.569509983,4.418879986,3.823189974,4.316589832,,5.165639877,5.461830139,6.928890228,6.40447998,6.617239952,6.478099823,4.509827838,5.469917783,6.598386064,7.469819803,5.845190048,,
Botswana,BWA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,4.387239933,3.906389952,3.262789965,3.674240112,5.649429798,6.063960075,5.40031004,5.952139854,6.141729832,5.46931982,,,5.552269936,5.551660061,5.650720119,5.185929775,6.117730141,6.151110172,,5.739630222,,6.840610027,,,,,,,,,,,,,10.67858982,,9.04666996,,9.825300217,,10.82655374,8.109872974,8.017206406,7.88874189,8.394579416,8.735892964,7.809244439,7.905386053,8.398996603,8.05833661,,,,,
Central African Republic,CAF,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,3.170530081,,,,,,,,2.207750082,2.548049927,,,2.244199991,2.276309967,,,,,,,,1.690019965,1.612650037,,1.519569993,1.539800048,1.624529958,1.652220011,1.415060043,1.313320041,1.290009975,1.254580021,1.117609978,1.107920051,1.980347248,2.638214238,2.220153317,1.910228588,1.754088983,1.753650139,1.565875968,1.767920746,2.144680612,1.872516917,2.115091295,1.829959113,,
Canada,CAN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,7.684299946,7.589839935,7.013869762,6.667160034,6.421319962,6.698420048,6.710919857,7.073830128,6.692200184,6.462890148,6.409019947,6.49725008,6.855470181,6.61841011,6.189430237,6.020589828,6.298279762,6.150229931,6.074069977,5.969220161,6.859519958,6.746630192,7.678349972,6.658299923,6.304769993,,,5.493770123,5.530799866,5.423319817,4.953030109,4.993080139,,,4.765880108,,4.766409874,4.62612009,4.840579987,5.356369972,5.262050152,,4.589009762,4.843589783,4.739379883,4.816420078,4.959969997,4.888979912,4.772930145,4.887949944,4.748600006,4.880219936,,,
Central Europe and the Baltics,CEB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990854979,4.671164989,4.699719906,4.610209942,4.334750175,,4.925189972,4.570369959,4.868400097,5.081589937,5.179230213,5.106709957,4.875669956,4.809350014,4.836530209,4.591599941,4.836490154,4.946360111,4.723750114,4.56317997,4.431954861,4.501279831,4.507669926,4.787479877,4.627260208,4.077559948,4.215410233,4.267799854,4.625030041,4.684060097,4.316464901,,,
Switzerland,CHE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,3.392529964,3.496449947,3.657629967,3.914720058,4.114160061,4.37446022,4.473609924,4.496369839,4.370520115,4.347700119,4.23401022,4.196919918,4.263169765,4.367179871,4.227119923,4.174630165,4.210080147,4.166359901,4.230810165,4.143159866,4.391940117,4.545070171,,4.944590092,4.908889771,4.912899971,4.922609806,,4.751520157,4.759530067,4.658780098,4.822189808,5.17881012,5.384009838,5.314290047,5.084720135,4.841209888,4.583950043,4.757259846,4.925610065,4.802100182,4.856639862,4.898620129,4.913929939,4.930570126,4.99559021,4.981639862,5.017650127,4.930089951,5.014389992,5.276760101,5.037089825,4.924190044,,,
