Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2026/2/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Bahrain,BHR,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.716,66.404,66.369,66.04,65.71,65.43,65.234,65.141,65.164,65.29,65.507,65.521,65.238,64.989,64.906,65.695,66.721,67.952,69.309,70.705,71.745,71.188,71.586,71.549,71.169,71.359,71.977,72.389,72.07,71.414,69.226,68.94,70.285,70.7,70.569,70.429
"Bahamas, The",BHS,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.753,72.262,72.745,73.197,73.612,73.81,73.983,74.128,74.245,74.321,74.359,74.375,74.366,74.334,74.283,74.217,74.147,74.07,73.994,73.917,73.845,73.807,73.797,73.815,73.862,73.938,74.032,74.159,74.297,74.401,68.082,69.658,74.15,74.13,73.999,73.775
Bosnia and Herzegovina,BIH,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.396,54.875,55.09,54.676,54.314,53.83,53.516,53.396,53.172,53.04,52.811,52.619,52.444,52.179,51.955,51.685,51.529,51.427,51.374,51.312,51.154,50.91,50.68,50.361,50.065,49.864,49.624,49.408,49.129,48.796,47.468,47.716,48.838,49.428,49.241,48.991
Belarus,BLR,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.276,59.09,59.141,59.129,59.355,59.643,59.347,58.803,58.602,58.703,59.3,59.793,60.122,60.377,60.56,60.761,61.038,61.363,61.814,62.33,62.826,63.299,63.667,63.946,64.14,64.269,64.383,64.479,64.412,64.251,64.03,64.02,64.042,63.572,63.256,62.747
Belize,BLZ,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.366,55.673,56.01,56.143,56.07,57.019,57.962,58.9,58.7,59.3,59.541,59.782,60.022,60.262,60.501,60.74,60.978,61.216,61.453,61.69,61.926,62.161,62.396,62.631,63.492,63.872,64.249,64.034,67.295,69.726,54.68,60.36,58.32,57.62,56.85,59.1
Bermuda,BMU,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.002,69.329,69.285,69.52,69.8,70.085,70.341,70.66,70.491,70.322,70.152,69.981,69.81,69.639,69.467,69.294,69.121,68.947,68.773,68.598,68.422,68.247,68.07,67.893,67.716,67.538,67.359,68.634,71.798,74.158,72.264,77.79,78.267,78.38,78.33,78.626
Brazil,BRA,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.676,64.72,64.982,65.227,65.452,65.663,63.949,64.787,64.922,65.595,65.807,66.034,66.975,66.898,67.364,68.05,67.705,67.295,67.173,67.401,66.145,64.87,64.409,64.314,64.039,64.275,64.29,64.525,64.501,64.887,60.479,62.456,63.527,62.915,63.339,63.139
Barbados,BRB,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.508,68.147,67.696,68.225,68.736,69.691,68.899,69.031,69.151,69.229,69.35,69.467,69.499,69.534,70.152,69.968,69.79,69.62,69.42,69.162,68.899,68.641,67.569,68.292,66.34,65.432,66.064,66.166,65.714,64.926,63.104,62.387,65.345,65.019,64.975,64.685
Brunei Darussalam,BRN,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.421,66.357,66.742,67.09,67.382,67.612,67.796,67.959,68.118,68.271,68.406,68.51,68.36,68.185,67.994,67.792,67.571,67.251,66.9,66.665,66.558,66.505,66.382,66.184,65.946,65.682,65.421,65.191,66.433,64.793,63.954,63.895,64.083,64.733,64.509,64.235
