Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Bulgaria,BGR,..,35600.73386,60519.0099,59817.2104,61624.09988,62694.24536,62815.2683,68917.57183,69787.21553,71090.25675,74220.90739,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Burkina Faso,BFA,..,3346.449815,5290.997548,5461.630616,5659.924452,5813.152009,5931.605383,6231.15162,6223.529033,6289.321529,6470.85224,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Burundi,BDI,..,2494.972592,2449.269895,2487.274777,2532.02366,2546.355602,2499.792031,2475.742885,2435.845204,2428.878893,2444.227457,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Cabo Verde,CPV,..,15289.6836,21195.42449,22146.96401,24408.24034,25206.77046,22084.27484,22885.80425,24209.53537,24900.61564,26322.16413,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Cambodia,KHM,..,4190.721975,9550.827826,10144.05318,10802.02771,11406.46179,10831.4793,11356.78018,11306.14078,11663.23627,12150.18308,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Cameroon,CMR,..,9157.12252,12354.69666,12591.02953,12888.61886,13118.16124,13085.36709,13249.78446,13230.21224,13247.84193,13292.68348,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Canada,CAN,..,98476.48074,108776.0545,109696.8968,110704.6997,110430.506,111042.8711,112202.1654,111740.9795,109849.074,110184.2327,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Central African Republic,CAF,..,3335.694138,3044.480959,3132.064457,3194.822034,3251.551697,3272.299349,3265.924875,3253.11826,3234.628016,3165.777931,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Chad,TCD,..,4291.157674,8437.569874,8086.937033,8317.911282,8466.420756,8274.366121,7965.472917,7874.769692,7733.365767,7586.528555,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Chile,CHL,..,47850.12733,59992.14782,59228.26799,60250.57178,59490.61612,64093.56951,68026.39443,65161.27481,63928.45625,63924.42897,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,China,CHN,..,7507.977729,29368.91593,31434.1717,33601.39284,35777.21532,37511.35718,39480.60308,41490.23189,43341.41854,45841.79636,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Colombia,COL,..,29797.69902,36943.64038,36903.56253,37412.44441,38575.72026,38004.12236,39876.7886,41331.83491,40177.98828,40362.51202,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Comoros,COM,..,13526.70802,12101.10089,11854.45449,11603.74162,11174.45765,10711.44388,10325.09614,10236.77252,10293.77567,10396.06976,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,"Congo, Dem. Rep.",COD,..,2574.084731,4136.286802,4170.707567,4298.487125,4209.393662,4201.787268,4317.43026,4483.15261,4701.623971,4822.003154,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,"Congo, Rep.",COG,..,24056.4652,25424.19272,23566.29918,22486.38838,22069.28798,21607.69872,20957.55389,19464.93607,19202.40147,19097.99505,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Costa Rica,CRI,..,36422.82955,51317.46776,52358.30074,51737.97125,51683.90072,55308.77303,57095.78199,56811.39635,61814.24331,61875.02314,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Cote d'Ivoire,CIV,..,14390.16075,14077.12743,15083.63513,15487.81891,16182.29964,15835.35946,16154.72936,16390.31097,16924.85394,17398.98786,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Croatia,HRV,..,58038.22102,81081.333,82867.63263,84548.92305,86452.7828,80464.46795,89589.36444,95065.0183,98096.72694,100036.0937,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Cyprus,CYP,..,59212.1793,59361.39956,60040.21147,60210.11299,61358.84731,59408.92147,64554.10437,67503.28009,68217.93408,70318.19425,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Czechia,CZE,..,63908.05622,88651.415,91774.59061,93149.93849,96427.38358,92703.33357,98551.08439,98358.33884,95792.83541,96011.89303,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Denmark,DNK,..,113114.6323,132115.4295,134703.7728,135156.2101,135435.7845,133966.2152,139792.0429,136344.0434,136292.3693,137639.6853,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Djibouti,DJI,..,..,32714.9835,33826.0114,34780.26196,36028.19842,36783.98933,37279.49335,37686.213,39356.20228,41264.45466,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Dominican Republic,DOM,..,30768.92911,46036.80887,46447.93303,47946.28533,48767.78712,47694.87417,52122.14892,52845.47792,52472.02586,53911.11231,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Ecuador,ECU,..,23529.58944,29435.04601,30027.88997,30166.47451,29791.51777,29987.41796,29089.95199,30047.87837,30735.59167,29604.53086,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,"Egypt, Arab Rep.",EGY,..,37623.06755,51041.08958,53638.5056,56226.18228,58323.0268,60089.45678,58608.20123,60860.87305,59309.61924,59440.80821,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,El Salvador,SLV,..,20949.61755,24185.47758,24599.74971,25035.77475,25056.09737,24506.27023,25801.76869,25572.56875,25579.75034,25908.04647,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Equatorial Guinea,GNQ,..,35981.49213,70187.98428,63789.49094,57701.2979,52784.18503,52830.23736,51454.71371,48486.40051,44718.84732,44117.91807,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Estonia,EST,..,48833.5794,76614.46018,79264.27996,81327.4144,83770.98919,83490.36182,89268.09673,83737.03435,79997.64332,80735.32054,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Eswatini,SWZ,..,26952.59109,37396.32742,39336.24869,40000.28428,43177.596,44752.83905,46468.66084,46911.91053,45827.62464,46542.53389,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Ethiopia,ETH,..,1957.948952,4855.524897,5245.997472,5536.305971,5933.423594,6343.721071,6586.675465,6657.887032,6876.15639,7172.665808,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Fiji,FJI,..,24633.79673,30749.46024,32409.28879,33661.62288,33442.86895,29414.19786,27779.37588,31023.00005,33550.54724,34428.34973,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Finland,FIN,..,105161.5381,120803.4678,123870.3749,121926.5128,122535.0184,121064.5306,121651.7901,119431.7927,118155.5617,119913.02,..
