Country Name,Country Code,Year,GDP_y,Edu_x,Digital_w,Labor_z2,RD_z1,core_complete,rd_complete,ln_GDP_y,Edu_x_lag1,Digital_w_lag1,Labor_z2_lag1,ln_GDP_y_lag1,gdp_growth_next,Edu_within,ln_GDP_within
Singapore,SGP,2018,206940.0187,2.856600046,88.1656,68.581,1.80947,True,True,12.240184265523295,2.879163824,84.4523,68.943,12.212881044194585,-0.010965456197071788,0.1617479793750003,-0.009758644057955124
Singapore,SGP,2019,204683.223,2.729510069,88.9493,68.986,1.88474,True,True,12.229218809326223,2.856600046,88.1656,68.581,12.240184265523295,-0.021869565993879903,0.03465800237500005,-0.02072410025502691
Singapore,SGP,2020,200255.4826,2.686990023,92.0043,68.712,2.15626,True,True,12.207349243332343,2.729510069,88.9493,68.986,12.229218809326223,0.11206410707545444,-0.00786204362499987,-0.042593666248906814
Singapore,SGP,2021,224002.6924,2.824709892,96.9247,70.686,,True,False,12.319413350407798,2.686990023,92.0043,68.712,12.207349243332343,0.007926109590496111,0.12985782537500024,0.06947044082654763
Singapore,SGP,2022,225785.2172,2.488919973,95.9539,69.734,,True,False,12.327339459998294,2.824709892,96.9247,70.686,12.319413350407798,-0.02963760339700805,-0.20593209362499998,0.07739655041704374
Singapore,SGP,2023,219191.6755,2.148260117,94.2852,69.394,,True,False,12.297701856601286,2.488919973,95.9539,69.734,12.327339459998294,,-0.5465919496249998,0.04775894702003569
Thailand,THA,2016,34706.25736,3.767617568,47.505,68.315,0.77829,True,True,10.454675277055445,,,,,0.04493290346091072,0.6774668753749999,-0.05330976823787914
Thailand,THA,2017,36301.27634,3.465321476,52.8919,67.525,1.00166,True,True,10.499608180516356,3.767617568,47.505,68.315,10.454675277055445,0.02886654122203325,0.3751707833750002,-0.008376864776968418
Thailand,THA,2018,37364.43973,3.197693959,56.8175,67.798,1.11374,True,True,10.52847472173839,3.465321476,52.8919,67.525,10.499608180516356,0.026456299071872635,0.107543266375,0.02048967644506483
Thailand,THA,2019,38366.15696,3.022214112,66.6524,66.94,1.14317,True,True,10.554931020810262,3.197693959,56.8175,67.798,10.52847472173839,-0.06603126489810052,-0.06793658062500008,0.046945975516937466
Thailand,THA,2020,35914.62079,3.153141717,77.8437,67.021,1.32818,True,True,10.488899755912161,3.022214112,66.6524,66.94,10.554931020810262,0.011931187149100353,0.06299102437500004,-0.01908528938116305
Thailand,THA,2021,36345.69133,2.982124285,85.2696,66.952,1.20807,True,True,10.500830943061262,3.153141717,77.8437,67.021,10.488899755912161,0.014944344233974505,-0.10802640762500015,-0.007154102232062698
Thailand,THA,2022,36892.93275,2.611870228,87.9772,67.18,1.15902,True,True,10.515775287295236,2.982124285,85.2696,66.952,10.500830943061262,0.00490988866225095,-0.47828046462500007,0.007790242001911807
Thailand,THA,2023,37074.51836,2.521222196,89.5353,67.814,,True,False,10.520685175957487,2.611870228,87.9772,67.18,10.515775287295236,,-0.5689284966249999,0.012700130664162756
Timor-Leste,TLS,2016,11514.01651,8.128379822,21.2,66.823,,True,False,9.351320399141276,,,,,-0.06960782732615733,2.6720419641428563,-0.0636589300386472
Timor-Leste,TLS,2017,10739.80887,7.170939922,24.2,67.058,,True,False,9.281712571815119,8.128379822,21.2,66.823,9.351320399141276,-0.04103143932879405,1.7146020641428565,-0.13326675736480453
Timor-Leste,TLS,2018,10308.05732,6.848060131,27.6,67.204,,True,False,9.240681132486325,7.170939922,24.2,67.058,9.281712571815119,0.19208824517713552,1.3917222731428573,-0.17429819669359858
Timor-Leste,TLS,2019,12491.07137,4.179689137,28.0046,66.51,,True,False,9.43276937766346,6.848060131,27.6,67.204,9.240681132486325,0.25285163063298555,-1.2766487208571426,0.017790048483536935
Timor-Leste,TLS,2020,16084.65528,3.652873604,32.0127,65.922,,True,False,9.685621008296446,4.179689137,28.0046,66.51,9.43276937766346,0.012381276803898444,-1.8034642538571433,0.2706416791165225
Timor-Leste,TLS,2021,16285.04181,2.973894041,35.042,66.473,,True,False,9.698002285100344,3.652873604,32.0127,65.922,9.685621008296446,-0.4832537553438634,-2.482443816857143,0.2830229559204209
Timor-Leste,TLS,2023,10044.17888,5.240528348,34.0207,66.577,,True,False,9.21474852975648,2.973894041,35.042,66.473,9.698002285100344,,-0.2158095098571433,-0.20023079942344246
Viet Nam,VNM,2016,17000.21478,3.469069958,53.0,76.965,,True,False,9.740981257076191,,,,,0.05566577179703813,0.2809005242857143,-0.16579771888730477
Viet Nam,VNM,2017,17973.37956,3.418656865,58.14,77.2,0.41895,True,True,9.79664702887323,3.469069958,53.0,76.965,9.740981257076191,0.052196330754272324,0.23048743128571436,-0.11013194709026664
Viet Nam,VNM,2018,18936.43948,3.295370102,69.8479,77.482,,True,False,9.848843359627502,3.418656865,58.14,77.2,9.79664702887323,0.07727274606145329,0.1072006682857145,-0.05793561633599431
Viet Nam,VNM,2019,20457.73042,3.084998327,68.6616,76.615,0.41652,True,True,9.926116105688955,3.295370102,69.8479,77.482,9.848843359627502,0.05106558291826957,-0.10317110671428553,0.01933712972545898
Viet Nam,VNM,2020,21529.54999,3.216529002,70.3,74.367,,True,False,9.977181688607224,3.084998327,68.6616,76.615,9.926116105688955,0.025355951551533806,0.02835956828571451,0.07040271264372855
Viet Nam,VNM,2021,22082.43202,2.945174888,74.21,73.738,0.42494,True,True,10.002537640158758,3.216529002,70.3,74.367,9.977181688607224,0.05260811155386236,-0.2429945457142857,0.09575866419526236
Viet Nam,VNM,2022,23275.24787,2.887386894,78.59,74.484,,True,False,10.05514575171262,2.945174888,74.21,73.738,10.002537640158758,,-0.3007825397142856,0.1483667757491247
