,count,mean,std,min,25%,50%,75%,max
GDP_y,91.0,75159.13439153846,66841.80418984471,10044.17888,22222.351945000002,38366.15696,105808.6496,235124.791
ln_GDP_y,91.0,10.81948311167223,0.9295260309123587,9.21474852975648,10.008834083235186,10.554931020810262,11.569258437566353,12.367871677714048
Edu_x,91.0,3.3944143229010986,1.353607225821574,0.86394335,2.7539198215000003,3.30128109,3.937800483,8.128379822
Digital_w,91.0,71.68128021978023,23.41164072231409,21.2,53.7457,81.643,90.36345,97.6927
Labor_z2,91.0,65.5305054945055,4.722916042196403,54.746,61.977500000000006,66.178,68.1045,77.482
