Country Name,Country Code,Year,GDP_y,Edu_x,Digital_w,Labor_z2,core,ln_GDP_y,Edu_x_lag1,Digital_w_lag1,Labor_z2_lag1,ln_GDP_y_lag1,gdp_growth_next,Edu_within,ln_GDP_within,GDP_y_idx,Edu_x_idx,Digital_w_idx
"Hong Kong SAR, China",HKG,2016,123445.279,3.292690039,87.4794,60.397,True,11.723553251838753,,,,,0.026333339741444917,-0.41691750275000006,-0.034799107431984666,100.0,100.0,100.0
"Hong Kong SAR, China",HKG,2017,126739.1849,3.309890032,89.4159,60.466,True,11.749886591580198,3.292690039,87.4794,60.397,11.723553251838753,0.014088102842167771,-0.39971750974999987,-0.00846576769053975,102.6683125727311,100.52236902946454,102.21366401689997
"Hong Kong SAR, China",HKG,2018,128537.3361,3.326240063,90.5074,60.647,True,11.763974694422366,3.309890032,89.4159,60.466,11.749886591580198,-0.013388454403401084,-0.3833674787499999,0.005622335151628022,104.12495086183087,101.01892445394556,103.4613863378121
"Hong Kong SAR, China",HKG,2019,126827.8888,3.810179949,91.7434,59.995,True,11.750586240018965,3.326240063,90.5074,60.647,11.763974694422366,-0.019046308572887582,0.10057240725000005,-0.007766119251773063,102.74016943167183,115.71632628248128,104.87429040436949
"Hong Kong SAR, China",HKG,2020,124435.1445,4.405620098,92.4131,58.975,True,11.731539931446077,3.810179949,91.7434,59.995,11.750586240018965,0.06670578908088665,0.6960125562499999,-0.026812427824660645,100.80186582104933,133.80002508034434,105.6398420656749
"Hong Kong SAR, China",HKG,2021,133018.796,4.000309944,93.0872,58.744,True,11.798245720526964,4.405620098,92.4131,58.975,11.731539931446077,-0.024059309521240024,0.29070240224999955,0.039893361256226,107.7552718723249,121.49063217668999,106.41042348255702
"Hong Kong SAR, China",HKG,2022,129856.6477,3.728660107,95.6136,57.851,True,11.774186411005724,4.000309944,93.0872,58.744,11.798245720526964,0.0006596223211250418,0.019052565249999986,0.015834051734985977,105.19369290744606,113.24054383607896,109.2984176846206
"Hong Kong SAR, China",HKG,2023,129942.3323,3.803270102,95.9778,57.216,True,11.774846033326849,3.728660107,95.6136,57.851,11.774186411005724,,0.09366256024999986,0.01649367405611102,105.26310390533445,115.50647212317212,109.71474427122271
Indonesia,IDN,2016,24358.59881,1.210234525,25.4474,66.314,True,10.100640200054546,,,,,0.025252589709010564,0.15903729487499985,-0.07381083675158884,100.0,100.0,100.0
Indonesia,IDN,2017,24981.54896,1.053243825,32.3358,66.694,True,10.125892789763556,1.210234525,25.4474,66.314,10.100640200054546,0.02968428003883261,0.0020465948749999185,-0.04855824704257827,102.55741372834737,87.02807623175352,127.06917013132973
Indonesia,IDN,2018,25734.2243,0.994436461,39.9046,67.652,True,10.155577069802389,1.053243825,32.3358,66.694,10.125892789763556,0.0193859084567638,-0.056760769125000055,-0.018873967003745662,105.64739171054151,82.16890532023122,156.81209082263808
Indonesia,IDN,2019,26237.97265,0.964399078,47.6906,68.238,True,10.174962978259153,0.994436461,39.9046,67.652,10.155577069802389,-0.01357191216626319,-0.08679815212500008,0.0005119414530181388,107.71544313636159,79.68695802989095,187.4085368249802
Indonesia,IDN,2020,25884.27877,1.015932213,53.7265,67.401,True,10.16139106609289,0.964399078,47.6906,68.238,10.174962978259153,0.04435740013874856,-0.035265017125000186,-0.01305997071324505,106.2634142952987,83.94506948973381,211.1276594072479
Indonesia,IDN,2021,27058.28349,1.032217507,62.1045,65.868,True,10.205748466231638,1.015932213,53.7265,67.401,10.16139106609289,0.019126769174217628,-0.01897972312500018,0.03129742942550351,111.08308692572125,85.29070074248625,244.05047273984772
Indonesia,IDN,2022,27580.80215,0.86394335,66.4846,67.018,True,10.224875235405856,1.032217507,62.1045,65.868,10.205748466231638,0.021645253433192124,-0.1872538801250001,0.05042419859972114,113.22819660167474,71.38644057440024,261.2628402115737
Indonesia,IDN,2023,28184.30351,1.275170882,69.2084,67.899,True,10.246520488839048,0.86394335,66.4846,67.018,10.224875235405856,,0.22397365187499996,0.07206945203291326,115.70576669799834,105.36560110115849,271.96648773548577
Japan,JPN,2016,86240.91,3.146430016,93.1827,59.986,True,11.364899938035204,,,,,0.005310996473497198,-0.04558662533333324,0.019192994788495454,100.0,100.0,100.0
Japan,JPN,2017,86700.15361,3.130579948,91.7265,60.444,True,11.370210934508702,3.146430016,93.1827,59.986,11.364899938035204,-0.013758372556701204,-0.06143669333333346,0.024503991261992653,100.53251248160531,99.49625232662413,98.43726356931062
Japan,JPN,2018,85515.46895,3.077820063,88.7464,61.446,True,11.356452561952,3.130579948,91.7265,60.444,11.370210934508702,-0.014324286091529359,-0.11419657833333341,0.010745618705291449,99.15882027450776,97.81943495799653,95.23913773694044
Japan,JPN,2019,84299.25242,3.155339956,92.7304,62.008,True,11.342128275860471,3.077820063,88.7464,61.446,11.356452561952,-0.03562114567526464,-0.036676685333333126,-0.0035786673862379104,97.74856552418105,100.28317616964915,99.51460947150062
Japan,JPN,2020,81349.26928,3.306289911,90.2195,61.947,True,11.306507130185206,3.155339956,92.7304,62.008,11.342128275860471,0.027535688753465237,0.11427326966666662,-0.03919981306150255,94.32793471219169,105.08067537453852,96.82001058136328
Japan,JPN,2021,83620.40255,3.335639954,82.9141,62.053,True,11.334042818938672,3.306289911,90.2195,61.947,11.306507130185206,,0.1436233126666666,-0.011664124308037316,96.96141025181669,106.01347994513918,88.98014330986332
"Korea, Rep.",KOR,2016,88154.25427,4.333099842,92.843,62.626,True,11.386843448374446,,,,,0.022536570923580967,-0.42212009428571395,-0.055893854290735234,100.0,100.0,100.0
"Korea, Rep.",KOR,2017,90163.50464,4.328239918,95.0694,62.91,True,11.409380019298027,4.333099842,92.843,62.626,11.386843448374446,0.027664141602151915,-0.42698001828571375,-0.03335728336715427,102.27924379445834,99.88784186431863,102.39802677638595
"Korea, Rep.",KOR,2018,92692.62224,4.458079815,96.0229,62.757,True,11.437044160900179,4.328239918,95.0694,62.91,11.409380019298027,0.011348607555515144,-0.29714012128571454,-0.005693141765002352,105.14821208299242,102.88430863716987,103.42502935062416
"Korea, Rep.",KOR,2019,93750.54606,4.684659958,96.1576,62.994,True,11.448392768455694,4.458079815,96.0229,62.757,11.437044160900179,0.001655357729228868,-0.07055997828571403,0.0056554657905127925,106.34829463006923,108.11336292306002,103.57011298643948
"Korea, Rep.",KOR,2020,93905.86527,4.801720142,96.5051,62.274,True,11.450048126184923,4.684659958,96.1576,62.994,11.448392768455694,0.03535035277347198,0.04650020571428559,0.0073108235197416604,106.52448489029682,110.81489735033895,103.94440076257767
"Korea, Rep.",KOR,2021,97284.84289,4.866270065,97.5713,62.55,True,11.485398478958395,4.801720142,96.5051,62.274,11.450048126184923,-0.0033443624737845568,0.11105012871428599,0.04266117629321364,110.35751331074131,112.30459122663345,105.0927910558685
"Korea, Rep.",KOR,2022,96960.03056,5.814469814,97.1686,63.794,True,11.48205411648461,4.866270065,97.5713,62.55,11.485398478958395,,1.0592498777142856,0.039316813819429086,109.98905425826591,134.18730299360593,104.65904807039841
Lao PDR,LAO,2016,18038.81982,2.774429761,21.87,59.898,True,9.800281371299238,,,,,0.05445799321144662,0.7494948721250001,-0.040194969273786185,100.0,100.0,100.0
Lao PDR,LAO,2017,19048.41861,2.497972614,25.5104,59.782,True,9.854739364510685,2.774429761,21.87,59.898,9.800281371299238,0.016746422337178046,0.4730377251250002,0.014263023937660435,105.59681176526104,90.03553267463671,116.6456332876086
Lao PDR,LAO,2018,19370.09744,2.33501229,36.3,60.989,True,9.871485786847863,2.497972614,25.5104,59.782,9.854739364510685,0.00990568441593176,0.31007740112500004,0.03100944627483848,107.38007049953448,84.16188158096968,165.98079561042522
Lao PDR,LAO,2019,19562.92498,2.122013937,47.0323,62.207,True,9.881391471263795,2.33501229,36.3,60.989,9.871485786847863,-0.027637947822485742,0.09707904812500034,0.04091513069077024,108.44902923366524,76.48468765830833,215.05395518975763
